,item_name,review_title,review_content,review_date,review_star,dog_breed,dog_age
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['포장 부터 매우 위생적입니다.'], '기호성도 좋고 깔끔합니다.', ['2015.08.01.'], '5 Stars', ['진돗개'], [' · 4살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['잘 먹어요'], '늘 먹는거라 쭉 구매 할듯 합니다.\n애들이 잘 먹어주니 좋네요', ['2015.08.01.'], '5 Stars', ['말티즈'], [' · 11살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['처음먹인후...'], '요즘들어서 울집강아지가 더위에 허덕이더니 그나마 먹던 홀리스틱이 다떨어져서 급한마음에 일반사료를 줬거든요? 근데 이애가 쳐다보지도 않아 하루이상굶은적도 있고 안먹다가 마지못해서 서너개정도 알맹이만 먹고 말고..그러다 오늘 택배로온 이사료를 먹고는 먹기시작했어요. [처음엔 한알먹어보고 괜찮은지 점점 먹기시작]^^', ['2015.07.31.'], '5 Stars', ['푸들'], [' · 2살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['너무 잘먹어요ㅎㅎ'], '보자마자 너무 커서 걱정했는데 잘 먹어서 조항요 ㅎㅎ ', ['2015.07.03.'], '5 Stars', ['맨체스터 테리어'], [' · 4살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['쓸만하네요'], '좀 비싼 사료를 먹이다가 가격대비 양이 많길래  이걸로 바꿨는데 \n녀석 아무 거부 없이 잘도 먹네요.\n피부도 괜찮고 변도 다른 건강도 아무 이상 없이 쓸만합니다.', ['2015.06.29.'], '5 Stars', ['말티즈'], [' · 9살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['좋아요'], '배변냄새가 안나욬ㅋㅋㅋㅋㅋ', ['2015.06.26.'], '5 Stars', ['요크셔 테리어'], [' · 7살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['기존사료랑 섞어서 먹였는데 다행히 잘먹어요^^'], '어려서부터 항상 네츄럴코어 상품 애용하고있습니다.\n개별포장 되어있으니 사료가 건조해질 염려도 없고 좋아요^^!!\n네츄럴코어 홀리스틱 연어 먹이다가 그램수도 좀더많고 가격도 소비자입장에서\n부담없어서 고민끝에 구입했는데 다행히도 섞어서 주니까\n곧잘먹더라구요.^^가격 안바뀌었으면좋겠네요ㅠ 앞으로 쭉 계속 구매할 예정입니다~~!!', ['2015.06.26.'], '5 Stars', ['푸들'], [' · 0살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['우리애기가 너무잘먹어요^^'], '어릴때 부터 네츄럴 코어를 먹였는데..종류 별로 다먹여도 다잘먹고 ㅎ\n이것도 너무너무 잘먹네요  대변 냄새도 덜나고^^', ['2015.06.19.'], '5 Stars', ['아메리칸 코카 스파니엘'], [' · 5살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['유산균 들어 있다고 해서 주문합니다'], '항생제 때문에 장에 탈이 난 우리 강아지. 하루 죽먹고 이걸로 바꾸고 설사 멈췼어요.죽때문인지 사료때문인지', ['2015.06.16.'], '5 Stars', ['골든 리트리버'], [' · 2살']
0,"['네츄럴코어 홀리스틱 베네 M32 멀티프로테인 6kg', 'ANF 유기농 6Free 플러스 소고기&연어 5.6kg']", ['완전좋아요ㅜ'], '이가격에 포장도잘되있고 변냄새 감소된다해서 시켜봣는데 먹여봐야알겟지만 일단 만족!', ['2015.06.16.'], '5 Stars', ['프렌치 블독'], [' · 2살']
